https://www.bike-discount.de/en/cube-elite-c-62-one-carbon-n-black	Cube Elite C:62 ONE carbon´n´black	€2,319.00	Carbon	"29"""	carbon´n´black	starting from 9,8 kg
https://www.bike-discount.de/en/cube-stereo-one44-c-62-race-swampgrey-n-black	Cube Stereo ONE44 C:62 Race swampgrey´n´black	€3,199.20	Carbon	29: S, M, L, XL	swampgrey´n´black	starting from 12,6 kg
https://www.bike-discount.de/en/radon-cragger-7.0-2	Radon Cragger 7.0	€1,119.20	aluminium	"29"""	brilliantash / deepblack	starting from 13,5 kg
https://www.bike-discount.de/en/cube-stereo-one55-c-62-race-29-lightgrey-n-grey	Cube Stereo ONE55 C:62 Race 29 lightgrey'n'grey	€2,599.00	Carbon	"29"""	lightgrey´n´grey	14,1 kg
https://www.bike-discount.de/en/radon-render-10.0-hd-750-ms	Radon Render 10.0 HD 750 MS	€5,999.20	Carbon Hauptrahmen/Aluminium Hinterbau	"29"""	UD carbon / deepblack	starting from 23,9 kg
https://www.bike-discount.de/en/radon-jealous-al-9.0-4	Radon Jealous AL 9.0	€1,499.00	aluminium	"29"""	black anodized / deepblack	starting from 10,95 kg
https://www.bike-discount.de/en/mondraker-crafty-rr-2	Mondraker CRAFTY RR	€5,499.00	aluminium	29	Desert Grey - Graphite - Orange	25,5 kg
https://www.bike-discount.de/en/cube-ams-zero99-c-68x-sl-29-teamline-1	Cube AMS ZERO99 C:68X SL 29 teamline	€4,159.20	Carbon	"29"""	teamline	starting from 9,7 kg
https://www.bike-discount.de/en/radon-sunset-supreme-2	Radon Sunset Supreme	€1,439.20	aluminium	"28"""	deepblack / cream	starting from 14,50 kg
https://www.bike-discount.de/en/radon-swoop-9.0-3	Radon Swoop 9.0	€2,699.00	Carbon mainframe, alloy rear triangle	"29"""	manlygrey / nearlyblack	starting from 15,30 kg
https://www.bike-discount.de/en/cube-stereo-one44-c-62-pro-mayablue-n-black	Cube Stereo ONE44 C:62 Pro mayablue´n´black	€2,249.00	Carbon	27.5: XS // 29: S, M, L, XL	mayablue'n'black	starting from 12,8 kg
https://www.bike-discount.de/en/cube-touring-hybrid-one-625-darkgreen-n-green	Cube Touring Hybrid ONE 625 darkgreen'n'green	€1,899.00	aluminium	"28"""	darkgreen´n´green	starting from 26,4 kg
https://www.bike-discount.de/en/radon-zr-team-7.0-6	Radon ZR Team 7.0	€699.00	aluminium	"Size split: 27.5"" (16"", 18"", 20"") / 29"" (18"", 20"", 22"")"	greenlemon / deepblack	starting from 13,20 kg
https://www.bike-discount.de/en/cube-reaction-c-62-race-bluehaze-n-black	Cube Reaction C:62 Race bluehaze´n´black	€1,749.00	Carbon	"29"""	bluehaze´n´black	starting from 10.3 kg
https://www.bike-discount.de/en/radon-vaillant-disc-8.0-2	Radon Vaillant Disc 8.0	€2,559.20	Carbon	"28"""	polishred / deepblack	starting from 8,50 kg
https://www.bike-discount.de/en/radon-jealous-al-10.0-2	Radon Jealous AL 10.0	€1,599.20	aluminium	"29"""	mudhoney / black	starting from 10,95 kg
https://www.bike-discount.de/en/radon-relate-7.0-625	Radon Relate 7.0 625	€2,559.20	aluminium	"28"""	brilliantash / deepblack	ab 25,15 kg
https://www.bike-discount.de/en/radon-skeen-trail-10.0-2	Radon Skeen Trail 10.0	€2,599.00	Carbon mainframe, alloy rear triangle	"29"""	brilliantash / deepblack	ab 13,25 kg
https://www.bike-discount.de/en/cube-elite-c-68x-slx-teamline	Cube Elite C:68X SLX teamline	€3,999.20	Carbon	"29"""	teamline	starting from 8,7 kg
https://www.bike-discount.de/en/radon-swoop-al-8.0-2	Radon Swoop AL 8.0	€2,499.00	aluminium	"29"""	military / deepblack	ab 15,55 kg
https://www.bike-discount.de/en/cube-kathmandu-hybrid-exc-750-grey-n-silver	Cube Kathmandu Hybrid EXC 750 grey´n´silver	€3,099.00	aluminium	"28"""	grey´n´silver	ab 27,7 kg
https://www.bike-discount.de/en/radon-r1-disc-105-2	Radon R1 Disc 105	€1,199.20	aluminium	"28"""	black / stealthgrey	ab 9,25 kg
https://www.bike-discount.de/en/focus-aventura2-6.9-3	Focus AVENTURA² 6.9	€3,799.00	aluminium	"29"""	Diamondblack	unknown
https://www.bike-discount.de/en/focus-jam2-6.7	Focus JAM² 6.7	€3,499.00	aluminium	"29"""	Poolgreen / Bluegreen	unknown
https://www.bike-discount.de/en/focus-jam2-6.8-3	Focus JAM² 6.8	€4,499.00	aluminium	"29"""	Stoneblue / Slategrey	unknown
https://www.bike-discount.de/en/focus-jam2-8.0	Focus JAM² 8.0	€7,119.20	Carbon	"29"""	Carbon raw / Carbon glossy	unknown
https://www.bike-discount.de/en/focus-jam2-8.7	Focus JAM² 8.7	€3,799.00	Carbon	"29"""	Carbon raw / Warmgrey	unknown
https://www.bike-discount.de/en/focus-jam2-8.8-1	Focus JAM² 8.8	€5,599.20	Carbon	"29"""	Carbon raw / Rustorange	unknown
https://www.bike-discount.de/en/focus-jam2-8.9	Focus JAM² 8.9	€6,799.20	Carbon	"29"""	Carbon raw / Carbon glossy	unknown
https://www.bike-discount.de/en/focus-jam2-sl-9.9	Focus JAM² SL 9.9	€6,599.00	Carbon	"29"""	Carbon raw / Carbon glossy	19.19 kg
https://www.bike-discount.de/en/focus-planet2-6.8-2	Focus PLANET² 6.8	€2,999.00	aluminium	"29"""	Lightgrey / Monnstonegrey	unknown
https://www.bike-discount.de/en/focus-planet2-6.8-wave	Focus PLANET² 6.8 Wave	€3,199.00	aluminium	"29"""	Lightgrey / Monnstonegrey	unknown
https://www.bike-discount.de/en/focus-raven-8.9	Focus RAVEN 8.9	€2,499.00	Carbon	"29"""	Silver / Carbon raw	11,6 kg
https://www.bike-discount.de/en/cube-supreme-sport-hybrid-pro-625-easy-entry-red-n-black-1	Cube Supreme Sport Hybrid Pro 625 Easy Entry red'n'black	€2,499.00	aluminium	"28"""	grey´n´grey	starting from 27,3 kg
https://www.bike-discount.de/en/cube-supreme-sport-hybrid-pro-625-easy-entry-red-n-black-1	Cube Supreme Sport Hybrid Pro 625 Easy Entry red'n'black	€2,499.00	aluminium	"28"""	grey´n´grey	starting from 27,3 kg
https://www.bike-discount.de/en/cube-kathmandu-hybrid-45-750-grey-n-reflex	Cube Kathmandu Hybrid 45 750 grey´n´reflex	€3,679.20	aluminium	"28"""	grey´n´reflex	unknown
https://www.bike-discount.de/en/cube-kathmandu-hybrid-45-750-lady-grey-n-reflex	Cube Kathmandu Hybrid 45 750 Lady grey´n´reflex	€3,679.20	aluminium	"28"""	iridium´n´red	unknown
https://www.bike-discount.de/en/kalkhoff-image-3.b-advance-4	Kalkhoff Image 3.B Advance	€2,399.00	aluminium	"28"""	diamondblack glossy	unknown
https://www.bike-discount.de/en/kalkhoff-image-3.b-advance-5	Kalkhoff Image 3.B Advance	€2,699.00	aluminium	"28"""	milkbrown glossy	unknown
https://www.bike-discount.de/en/kalkhoff-image-3.b-advance-wave-3	Kalkhoff Image 3.B Advance Wave	€2,399.00	aluminium	"28"""	milkbrown glossy	unknown
https://www.bike-discount.de/en/kalkhoff-image-3.b-advance-wave-2	Kalkhoff Image 3.B Advance Wave	€2,599.00	aluminium	"28"""	diamondblack glossy	unknown
https://www.bike-discount.de/en/kalkhoff-image-1.b-xxl	Kalkhoff Image 1.B XXL	€2,499.00	aluminium	"28"""	skygrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-image-1.b-excite	Kalkhoff Image 1.B Excite	€2,799.20	aluminium	"28"""	skygrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-image-c.b-advance-1	Kalkhoff Image C.B Advance+	€3,119.20	aluminium	"20"""	mustardyellow matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-7.b-advance-abs	Kalkhoff Endeavour 7.B Advance+ ABS	€3,899.00	aluminium	"27.5"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-7.b-move-1	Kalkhoff Endeavour 7.B Move+	€3,499.00	aluminium	"27.5"""	techgreen glossy	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-7.b-move-wave-1	Kalkhoff Endeavour 7.B Move+ Wave	€3,199.00	aluminium	"27.5"""	techgreen glossy	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-move-abs	Kalkhoff Endeavour 5.B Move+ ABS	€3,299.00	aluminium	"29"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-advance-abs-wave	Kalkhoff Endeavour 5.B Advance+ ABS Wave	€3,299.00	aluminium	"29"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-advance-2	Kalkhoff Endeavour 5.B Advance+	€3,499.00	aluminium	"29"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-advance-1	Kalkhoff Endeavour 5.B Advance+	€2,899.00	aluminium	"29"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-advance-wave-2	Kalkhoff Endeavour 5.B Advance+ Wave	€2,899.00	aluminium	"29"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-advance-3	Kalkhoff Endeavour 5.B Advance+	€2,899.00	aluminium	"29"""	goldbrown glossy	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-advance-wave-1	Kalkhoff Endeavour 5.B Advance+ Wave	€2,799.00	aluminium	"29"""	goldbrown glossy	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-move-wave-2	Kalkhoff Endeavour 5.B Move+ Wave	€2,999.00	aluminium	"29"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-move-3	Kalkhoff Endeavour 5.B Move+	€2,599.00	aluminium	"29"""	lightgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-5.b-move-wave-1	Kalkhoff Endeavour 5.B Move+ Wave	€2,599.00	aluminium	"29"""	lightgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-3.b-move-3	Kalkhoff Endeavour 3.B Move	€2,299.00	aluminium	"28"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-3.b-move-2	Kalkhoff Endeavour 3.B Move	€2,099.00	aluminium	"28"""	starwhite glossy	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-3.b-move-wave-1	Kalkhoff Endeavour 3.B Move Wave	€2,299.00	aluminium	"28"""	starwhite glossy	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-3.b-move-1	Kalkhoff Endeavour 3.B Move	€2,199.00	aluminium	"28"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-3.b-move-wave-3	Kalkhoff Endeavour 3.B Move Wave	€2,699.00	aluminium	"28"""	jetgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-3.b-move	Kalkhoff Endeavour 3.B Move	€2,499.00	aluminium	"28"""	starwhite glossy	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-3.b-move-wave	Kalkhoff Endeavour 3.B Move Wave	€2,599.00	aluminium	"28"""	starwhite glossy	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-1.b-move-4	Kalkhoff Endeavour 1.B Move	€2,399.00	aluminium	"28"""	lightgrey matt	unknown
https://www.bike-discount.de/en/kalkhoff-endeavour-c.b-move-1	Kalkhoff Endeavour C.B Move+	€2,439.20	aluminium	"20"""	techgreen glossy	unknown
